遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.2,0.19,0.37,0.37,-0.23,0.19,0.43,0,34.8,0.06,0.18
0,-0.2,0.21,0.43,0.43,-0.53,0.31,0.56,1,34.8,0.06,0.18
0,-0.23,0.22,0.45,0.45,-0.74,0.45,0.71,1,34.8,0.07,0.18
0,-0.24,0.23,0.45,0.45,-0.61,0.46,0.69,1,34.8,0.04,0.19
0,-0.23,0.23,0.45,0.45,-0.33,0.38,0.58,1,34.8,0.01,0.19
0,-0.22,0.24,0.47,0.47,0.19,0.22,0.38,0,34.8,-0.04,0.19
0,-0.2,0.2,0.41,0.41,0.63,-0.01,0.12,0,34.8,-0.07,0.19
0,-0.19,0.18,0.37,0.37,0.97,-0.18,-0.07,0,34.8,-0.08,0.19
0,-0.16,0.17,0.34,0.34,0.93,-0.27,-0.14,0,34.8,-0.06,0.19
0,-0.16,0.16,0.33,0.33,0.64,-0.18,-0.01,0,34.8,-0.02,0.19
0,-0.16,0.17,0.34,0.34,0.27,-0.06,0.14,0,34.8,0.02,0.19
0,-0.17,0.17,0.33,0.33,-0.29,0.14,0.39,0,34.8,0.06,0.19
0,-0.19,0.17,0.35,0.35,-0.51,0.32,0.58,1,34.8,0.07,0.19
0,-0.19,0.18,0.37,0.37,-0.64,0.38,0.63,1,34.8,0.06,0.19
0,-0.2,0.2,0.4,0.4,-0.6,0.43,0.67,1,34.8,0.04,0.2
0,-0.2,0.2,0.41,0.41,-0.3,0.35,0.55,1,34.8,0.01,0.2
0,-0.2,0.2,0.39,0.39,0.14,0.2,0.36,0,34.8,-0.03,0.2
0,-0.18,0.19,0.38,0.38,0.59,-0.01,0.13,0,35.25,-0.07,0.2
0,-0.16,0.17,0.35,0.35,0.82,-0.15,-0.02,0,36.3,-0.07,0.2
0,-0.15,0.16,0.31,0.31,0.91,-0.23,-0.09,0,36.6,-0.06,0.2
0,-0.14,0.15,0.3,0.3,0.63,-0.2,-0.03,0,37.8,-0.03,0.2
0,-0.15,0.15,0.3,0.3,0.21,-0.05,0.17,0,38.4,0.02,0.2
0,-0.17,0.15,0.31,0.31,-0.19,0.12,0.37,0,38.7,0.05,0.2
0,-0.18,0.17,0.34,0.34,-0.52,0.28,0.54,1,38.7,0.07,0.2
0,-0.2,0.19,0.38,0.38,-0.76,0.42,0.69,1,38.7,0.07,0.2
0,-0.21,0.2,0.4,0.4,-0.67,0.47,0.72,1,38.7,0.05,0.21
0,-0.21,0.21,0.41,0.41,-0.34,0.37,0.58,1,38.7,0,0.21
0,-0.2,0.21,0.42,0.42,0.08,0.23,0.41,0,38.7,-0.03,0.21
0,-0.18,0.19,0.38,0.38,0.64,0.01,0.16,0,38.7,-0.07,0.21
0,-0.16,0.16,0.33,0.33,1.14,-0.24,-0.12,0,38.7,-0.09,0.21
0,-0.13,0.15,0.29,0.29,1.11,-0.37,-0.24,0,38.7,-0.08,0.21
0,-0.12,0.13,0.25,0.25,0.74,-0.27,-0.09,0,38.7,-0.02,0.2
0,-0.12,0.12,0.23,0.23,0.42,-0.14,0.09,0,38.7,0.02,0.2
0,-0.13,0.13,0.26,0.26,-0.08,0.02,0.27,0,38.7,0.05,0.2
0,-0.15,0.14,0.27,0.27,-0.75,0.28,0.57,1,38.7,0.09,0.21
0,-0.16,0.16,0.32,0.32,-1.05,0.52,0.83,1,38.7,0.1,0.21
0,-0.19,0.18,0.36,0.36,-0.88,0.54,0.81,1,38.7,0.06,0.21
0,-0.2,0.19,0.39,0.39,-0.73,0.47,0.71,1,38.7,0.02,0.22
0,-0.18,0.2,0.41,0.41,-0.38,0.4,0.62,1,38.7,-0.01,0.22
0,-0.16,0.17,0.35,0.35,0.32,0.17,0.33,0,38.7,-0.06,0.22
0,-0.15,0.16,0.31,0.31,0.94,-0.15,-0.03,0,38.7,-0.1,0.22
0,-0.11,0.13,0.26,0.26,1.2,-0.33,-0.21,0,38.7,-0.1,0.22
