遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,0.07,-0.07,-0.14,-0.14,-0.53,0.17,0.18,0,28.05,0.02,-0.01
0,0.07,-0.07,-0.14,-0.14,-0.31,0.12,0.11,0,28.2,0,-0.01
0,0.08,-0.08,-0.15,-0.15,0.01,0,-0.02,0,28.05,-0.01,-0.01
0,0.1,-0.09,-0.18,-0.18,0.34,-0.14,-0.18,0,29.7,-0.03,-0.01
0,0.11,-0.1,-0.2,-0.2,0.6,-0.27,-0.32,0,31.8,-0.03,-0.01
0,0.12,-0.11,-0.22,-0.22,0.66,-0.35,-0.39,0,32.4,-0.03,-0.01
0,0.12,-0.12,-0.25,-0.25,0.54,-0.34,-0.37,0,35.4,-0.01,-0.02
0,0.12,-0.13,-0.25,-0.25,0.23,-0.26,-0.28,0,36.15,0,-0.02
0,0.1,-0.11,-0.22,-0.22,-0.22,-0.1,-0.09,0,37.95,0.02,-0.02
0,0.08,-0.09,-0.18,-0.18,-0.66,0.11,0.14,0,37.95,0.04,-0.02
0,0.07,-0.08,-0.16,-0.16,-0.85,0.25,0.28,0,37.95,0.04,-0.02
0,0.06,-0.06,-0.12,-0.12,-0.85,0.3,0.32,0,37.95,0.03,-0.01
0,0.04,-0.05,-0.09,-0.09,-0.64,0.27,0.27,0,37.95,0.01,-0.01
0,0.04,-0.05,-0.09,-0.09,-0.31,0.16,0.14,0,37.95,-0.01,-0.01
0,0.04,-0.04,-0.08,-0.08,-0.04,0.03,-0.01,0,37.95,-0.02,-0.01
0,0.05,-0.05,-0.09,-0.09,0.26,-0.07,-0.11,0,37.95,-0.03,-0.01
0,0.07,-0.06,-0.13,-0.13,0.58,-0.23,-0.28,0,37.95,-0.04,-0.01
0,0.08,-0.07,-0.14,-0.14,0.57,-0.3,-0.35,0,37.95,-0.03,-0.01
0,0.09,-0.08,-0.15,-0.15,0.45,-0.26,-0.29,0,37.95,-0.01,-0.02
0,0.09,-0.09,-0.18,-0.18,0.4,-0.25,-0.27,0,37.95,0,-0.02
0,0.07,-0.09,-0.18,-0.18,-0.06,-0.16,-0.17,0,37.95,0.01,-0.02
0,0.06,-0.07,-0.13,-0.13,-0.58,0.1,0.12,0,37.95,0.04,-0.02
0,0.04,-0.05,-0.1,-0.1,-0.69,0.23,0.25,0,37.95,0.04,-0.02
0,0.02,-0.03,-0.06,-0.06,-0.86,0.27,0.29,0,37.95,0.03,-0.02
0,0.01,-0.01,-0.02,-0.02,-0.9,0.37,0.38,0,37.95,0.03,-0.01
0,0.02,-0.01,-0.03,-0.03,-0.38,0.27,0.26,0,37.95,0,-0.01
0,0.01,-0.01,-0.03,-0.03,0.16,0.02,-0.03,0,37.95,-0.03,-0.01
0,0.04,-0.02,-0.05,-0.05,0.47,-0.14,-0.2,0,37.95,-0.04,-0.01
0,0.07,-0.05,-0.1,-0.1,0.8,-0.29,-0.35,0,38.25,-0.04,-0.01
0,0.08,-0.08,-0.16,-0.16,0.91,-0.43,-0.49,0,39.3,-0.04,-0.02
0,0.09,-0.08,-0.16,-0.16,0.57,-0.37,-0.41,0,39.75,-0.02,-0.02
0,0.08,-0.08,-0.15,-0.15,0.2,-0.21,-0.22,0,40.65,0.01,-0.02
0,0.06,-0.07,-0.14,-0.14,-0.37,-0.03,-0.02,0,41.55,0.03,-0.02
0,0.03,-0.04,-0.08,-0.08,-0.98,0.24,0.28,0,42.6,0.05,-0.02
0,0,-0.01,-0.02,-0.02,-1.36,0.48,0.53,1,42.6,0.06,-0.02
0,-0.01,0,0.01,0.01,-1.23,0.54,0.57,1,42.6,0.04,-0.01
0,-0.02,0.02,0.03,0.03,-0.86,0.44,0.44,0,42.6,0.01,-0.01
0,-0.01,0.02,0.04,0.04,-0.26,0.25,0.22,0,42.6,-0.02,-0.01
0,0.02,0,0,0,0.51,-0.05,-0.11,0,42.6,-0.05,-0.01
0,0.06,-0.03,-0.06,-0.06,1.13,-0.37,-0.45,0,42.6,-0.07,-0.01
0,0.08,-0.07,-0.14,-0.14,1.35,-0.57,-0.65,-1,42.6,-0.07,-0.01
0,0.09,-0.09,-0.18,-0.18,1.12,-0.58,-0.64,-1,42.6,-0.04,-0.02
0,0.1,-0.09,-0.19,-0.19,0.69,-0.44,-0.47,0,42.6,0,-0.02
0,0.1,-0.09,-0.18,-0.18,0.14,-0.25,-0.24,0,42.6,0.03,-0.02
0,0.06,-0.07,-0.15,-0.15,-0.49,0.01,0.03,0,42.6,0.05,-0.02
0,0.01,-0.04,-0.07,-0.07,-1.11,0.29,0.34,0,42.6,0.07,-0.02
0,-0.02,0,0,0,-1.59,0.55,0.6,1,42.6,0.07,-0.02
0,-0.03,0.02,0.04,0.04,-1.81,0.72,0.77,1,42.6,0.06,-0.01
0,-0.03,0.03,0.06,0.06,-1.58,0.73,0.76,1,42.6,0.04,-0.01
0,-0.03,0.04,0.07,0.07,-0.85,0.53,0.52,1,42.6,-0.01,0
0,-0.01,0.02,0.04,0.04,0.13,0.16,0.11,0,42.6,-0.05,0
0,0.04,-0.02,-0.04,-0.04,1.13,-0.27,-0.37,0,42.75,-0.09,0
0,0.07,-0.05,-0.11,-0.11,1.87,-0.67,-0.78,-1,43.5,-0.1,-0.01
0,0.11,-0.09,-0.18,-0.18,1.96,-0.88,-0.98,-1,45.45,-0.09,-0.01
0,0.13,-0.13,-0.25,-0.25,1.26,-0.78,-0.84,-1,45.9,-0.03,-0.02
0,0.09,-0.11,-0.22,-0.22,0.03,-0.36,-0.35,0,47.85,0.04,-0.02
0,0.03,-0.05,-0.11,-0.11,-1.29,0.21,0.29,0,48.9,0.1,-0.02
0,0,-0.01,-0.02,-0.02,-2.24,0.73,0.84,1,49.2,0.13,-0.02
0,-0.04,0.03,0.05,0.05,-2.59,1.02,1.11,2,49.8,0.11,-0.01
0,-0.06,0.06,0.12,0.12,-2.39,1.07,1.14,2,49.8,0.07,0
0,-0.06,0.07,0.14,0.14,-1.75,0.9,0.92,1,49.95,0.02,0
0,-0.03,0.05,0.1,0.1,-0.81,0.56,0.53,1,49.8,-0.04,0.01
0,-0.01,0.02,0.03,0.03,0.25,0.13,0.06,0,49.8,-0.08,0.01
0,-0.02,0.02,0.04,0.04,1.34,-0.3,-0.4,0,49.8,-0.11,0.01
0,0.05,0,-0.01,-0.01,2.27,-0.74,-0.86,-1,49.8,-0.12,0
0,0.13,-0.09,-0.17,-0.17,2.61,-1.09,-1.2,-2,49.8,-0.11,0
0,0.14,-0.13,-0.27,-0.27,2.03,-1.08,-1.16,-2,49.8,-0.06,-0.01
0,0.11,-0.13,-0.25,-0.25,0.67,-0.67,-0.66,-1,49.8,0.02,-0.02
0,0.09,-0.1,-0.2,-0.2,-0.97,-0.02,0.06,0,49.8,0.1,-0.02
0,0.05,-0.08,-0.15,-0.15,-2.28,0.62,0.75,1,49.8,0.15,-0.02
0,-0.03,-0.02,-0.03,-0.03,-2.92,1.06,1.19,2,49.8,0.14,-0.01
0,-0.1,0.06,0.13,0.13,-2.96,1.25,1.36,2,49.8,0.1,0
0,-0.13,0.12,0.23,0.23,-2.46,1.2,1.26,2,49.95,0.05,0.01
0,-0.14,0.12,0.25,0.25,-1.49,0.91,0.91,1,50.25,-0.01,0.02
0,-0.14,0.14,0.29,0.29,-0.36,0.48,0.43,0,50.7,-0.07,0.02
0,-0.08,0.11,0.22,0.22,0.64,0.03,-0.05,0,50.85,-0.1,0.02
0,-0.04,0.06,0.12,0.12,1.55,-0.4,-0.49,0,51.9,-0.12,0.02
0,0.01,0.02,0.04,0.04,2.25,-0.76,-0.86,-1,52.2,-0.11,0.02
0,0.07,-0.04,-0.07,-0.07,2.59,-1.02,-1.11,-2,53.4,-0.1,0.01
0,0.08,-0.08,-0.15,-0.15,2.28,-1.07,-1.13,-2,53.4,-0.06,0
0,0.05,-0.06,-0.11,-0.11,1.15,-0.78,-0.78,-1,55.35,0,-0.01
0,0.03,-0.04,-0.08,-0.08,-0.67,-0.15,-0.07,0,55.65,0.09,-0.01
0,-0.06,0.02,0.03,0.03,-2.53,0.67,0.83,1,55.8,0.16,0
0,-0.12,0.09,0.18,0.18,-3.52,1.35,1.53,3,57,0.18,0
0,-0.2,0.15,0.29,0.29,-3.26,1.52,1.66,3,57.6,0.12,0.02
0,-0.25,0.21,0.42,0.42,-2.67,1.35,1.42,2,58.65,0.04,0.03
0,-0.26,0.26,0.51,0.51,-2.19,1.18,1.22,2,58.65,0,0.03
0,-0.27,0.26,0.52,0.52,-1,0.9,0.9,1,58.65,-0.04,0.04
0,-0.25,0.29,0.57,0.57,0.62,0.28,0.21,0,58.65,-0.12,0.05
0,-0.2,0.23,0.47,0.47,1.69,-0.3,-0.4,0,58.65,-0.14,0.04
0,-0.17,0.16,0.32,0.32,2.74,-0.75,-0.86,-1,58.65,-0.14,0.04
0,-0.14,0.14,0.27,0.27,3.04,-1.11,-1.21,-2,58.65,-0.13,0.03
0,-0.13,0.13,0.26,0.26,2.53,-1.03,-1.08,-2,58.65,-0.07,0.02
0,-0.14,0.13,0.26,0.26,1.43,-0.74,-0.72,-1,58.65,0,0.02
0,-0.18,0.14,0.29,0.29,-0.04,-0.15,-0.05,0,58.65,0.08,0.02
0,-0.26,0.2,0.4,0.4,-1.53,0.46,0.6,1,58.65,0.13,0.02
0,-0.34,0.3,0.61,0.61,-2.97,1.2,1.39,2,58.65,0.17,0.03
0,-0.43,0.41,0.82,0.82,-3.34,1.6,1.78,3,58.65,0.14,0.04
0,-0.49,0.48,0.96,0.96,-3.6,1.81,1.96,3,58.65,0.11,0.05
0,-0.55,0.51,1.02,1.02,-2.79,1.73,1.84,3,58.65,0.05,0.06
0,-0.54,0.55,1.11,1.11,-1.84,1.38,1.43,2,58.65,-0.02,0.07
0,-0.53,0.54,1.08,1.08,0.02,0.83,0.82,1,58.65,-0.09,0.08
0,-0.51,0.52,1.05,1.05,1.61,0.05,-0.03,0,58.65,-0.16,0.08
