遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.16,0.16,0.33,0.33,0.46,-0.09,-0.03,0,24,-0.04,0.1
0,-0.16,0.16,0.33,0.33,0.09,0.02,0.12,0,24,0,0.1
0,-0.17,0.17,0.33,0.33,-0.23,0.17,0.3,0,24,0.04,0.1
0,-0.19,0.18,0.35,0.35,-0.45,0.28,0.43,0,24,0.05,0.1
0,-0.19,0.19,0.38,0.38,-0.56,0.36,0.51,1,24.15,0.04,0.1
0,-0.19,0.19,0.38,0.38,-0.45,0.36,0.49,0,24.3,0.03,0.1
0,-0.19,0.19,0.38,0.38,-0.17,0.28,0.38,0,24.6,0,0.1
0,-0.18,0.19,0.37,0.37,0.09,0.16,0.24,0,24.6,-0.03,0.11
0,-0.16,0.17,0.34,0.34,0.29,0.06,0.13,0,24.75,-0.04,0.11
0,-0.16,0.16,0.33,0.33,0.34,-0.01,0.06,0,24.6,-0.04,0.11
0,-0.16,0.16,0.32,0.32,0.22,0.01,0.1,0,24.6,-0.02,0.11
0,-0.17,0.17,0.33,0.33,-0.03,0.09,0.2,0,24.75,0.01,0.11
0,-0.17,0.17,0.33,0.33,-0.27,0.2,0.33,0,25.05,0.03,0.11
0,-0.17,0.17,0.34,0.34,-0.38,0.28,0.42,0,25.2,0.04,0.11
0,-0.17,0.18,0.35,0.35,-0.31,0.28,0.42,0,26.1,0.02,0.11
0,-0.17,0.17,0.34,0.34,-0.13,0.23,0.34,0,26.4,0,0.11
0,-0.16,0.17,0.33,0.33,0.07,0.15,0.24,0,26.4,-0.02,0.11
0,-0.15,0.15,0.3,0.3,0.3,0.04,0.12,0,26.55,-0.03,0.11
0,-0.15,0.15,0.3,0.3,0.34,-0.02,0.06,0,26.55,-0.03,0.11
0,-0.15,0.15,0.3,0.3,0.15,0.01,0.11,0,26.7,-0.01,0.11
0,-0.15,0.15,0.29,0.29,-0.07,0.1,0.23,0,27,0.01,0.11
0,-0.18,0.16,0.32,0.32,-0.33,0.21,0.35,0,27.15,0.03,0.11
0,-0.18,0.18,0.35,0.35,-0.51,0.32,0.47,0,27.3,0.04,0.11
0,-0.17,0.18,0.35,0.35,-0.4,0.34,0.48,0,27.45,0.03,0.11
0,-0.18,0.18,0.36,0.36,-0.1,0.24,0.35,0,27.6,-0.01,0.12
0,-0.17,0.18,0.35,0.35,0.17,0.13,0.21,0,27.75,-0.03,0.12
0,-0.15,0.16,0.31,0.31,0.42,0.01,0.08,0,28.2,-0.04,0.12
0,-0.14,0.14,0.29,0.29,0.54,-0.09,-0.03,0,28.65,-0.05,0.12
0,-0.14,0.15,0.29,0.29,0.36,-0.08,0.01,0,28.8,-0.02,0.12
0,-0.15,0.14,0.28,0.28,0.03,0.03,0.16,0,28.95,0.01,0.12
0,-0.16,0.15,0.3,0.3,-0.29,0.18,0.33,0,28.95,0.04,0.12
0,-0.17,0.17,0.33,0.33,-0.46,0.29,0.46,0,28.95,0.05,0.12
0,-0.17,0.17,0.34,0.34,-0.46,0.33,0.48,0,28.95,0.04,0.12
0,-0.17,0.17,0.34,0.34,-0.26,0.29,0.42,0,28.95,0.01,0.12
0,-0.15,0.16,0.32,0.32,0.1,0.16,0.26,0,28.95,-0.02,0.12
0,-0.13,0.15,0.29,0.29,0.48,-0.01,0.06,0,28.95,-0.05,0.12
0,-0.11,0.12,0.23,0.23,0.69,-0.15,-0.09,0,28.95,-0.06,0.12
0,-0.09,0.1,0.2,0.2,0.59,-0.19,-0.11,0,28.95,-0.04,0.12
0,-0.09,0.09,0.18,0.18,0.26,-0.11,0.01,0,28.95,0,0.12
0,-0.1,0.09,0.19,0.19,-0.27,0.08,0.24,0,28.95,0.04,0.12
0,-0.11,0.11,0.21,0.21,-0.7,0.29,0.49,0,28.95,0.07,0.12
0,-0.11,0.11,0.22,0.22,-0.72,0.39,0.58,1,28.95,0.06,0.12
0,-0.11,0.11,0.22,0.22,-0.5,0.34,0.49,0,28.95,0.03,0.12
0,-0.09,0.1,0.21,0.21,-0.13,0.22,0.33,0,28.95,-0.01,0.12
