遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-9.85,9.74,38.94,38.94,-8.85,18.57,33.57,67,52.8,0,15
0,-10.04,9.95,39.79,39.79,-9.57,19.73,34.73,69,52.8,0,15
0,-10.04,10.06,40.23,40.23,-6.92,19.6,34.6,69,52.8,0,15
0,-9.91,9.98,39.93,39.93,-0.52,17.59,32.59,65,52.8,0,15
0,-9.72,9.82,39.29,39.29,6.06,14.5,29.5,59,52.8,0,15
0,-9.48,9.61,38.45,38.45,9.79,12.06,27.06,54,52.8,0,15
0,-9.29,9.35,37.39,37.39,10.77,10.72,25.72,51,52.8,0,15
0,-9.28,9.26,37.05,37.05,8.71,10.73,25.73,51,52.8,0,15
0,-9.38,9.31,37.23,37.23,3.24,12.37,27.37,54,52.8,0,15
0,-9.53,9.48,37.93,37.93,-3.2,15.2,30.2,60,52.8,0,15
0,-9.79,9.67,38.66,38.66,-7.64,17.77,32.77,65,52.8,0,15
0,-9.94,9.86,39.43,39.43,-9.12,19.28,34.28,68,52.8,0,15
0,-9.96,9.99,39.94,39.94,-7.33,19.45,34.45,68,52.8,0,15
0,-9.91,9.95,39.82,39.82,-2.04,17.95,32.95,65,52.8,0,15
0,-9.71,9.82,39.29,39.29,4.33,15.22,30.22,60,52.8,0,15
0,-9.53,9.61,38.45,38.45,8.61,12.64,27.64,55,52.8,0,15
0,-9.34,9.43,37.74,37.74,9.52,11.3,26.3,52,52.8,0,15
0,-9.32,9.31,37.23,37.23,7.33,11.38,26.38,52,52.8,0,15
0,-9.38,9.35,37.41,37.41,2.59,12.87,27.87,55,52.8,0,15
0,-9.57,9.46,37.83,37.83,-3.33,15.29,30.29,60,52.8,0,15
