遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出,I项输出
0,-0.47,0.49,1.23,1.23,-0.34,0.69,1.2,2,57.9,0,0.51
0,-0.47,0.48,1.2,1.2,0.11,0.52,1.03,2,57.9,0,0.51
0,-0.46,0.47,1.17,1.17,0.28,0.39,0.91,1,57.9,0,0.52
0,-0.48,0.48,1.2,1.2,0.6,0.28,0.81,1,57.75,0,0.52
0,-0.46,0.48,1.2,1.2,0.34,0.29,0.82,1,57.9,0,0.53
0,-0.47,0.46,1.14,1.14,0.56,0.3,0.83,1,57.75,0,0.53
0,-0.5,0.49,1.22,1.22,0.05,0.31,0.85,1,57.9,0,0.54
0,-0.52,0.51,1.27,1.27,-0.25,0.59,1.13,2,57.9,0,0.55
0,-0.53,0.51,1.28,1.28,-0.44,0.62,1.17,2,57.9,0,0.55
0,-0.56,0.53,1.32,1.32,-0.59,0.78,1.34,2,57.9,0,0.57
0,-0.58,0.57,1.43,1.43,-0.43,0.77,1.34,2,57.9,0,0.58
0,-0.58,0.59,1.47,1.47,-0.27,0.73,1.32,2,57.9,0,0.59
0,-0.56,0.57,1.43,1.43,-0.03,0.63,1.23,2,57.9,0,0.6
0,-0.58,0.55,1.38,1.38,0.38,0.5,1.11,2,57.9,0,0.61
0,-0.57,0.6,1.5,1.5,0.34,0.42,1.04,2,57.9,0,0.61
0,-0.53,0.57,1.42,1.42,0.53,0.44,1.06,2,57.9,0,0.62
0,-0.54,0.54,1.36,1.36,0.67,0.23,0.85,1,57.9,0,0.62
0,-0.53,0.54,1.34,1.34,0.21,0.4,1.03,2,57.9,0,0.63
0,-0.55,0.55,1.37,1.37,0.26,0.43,1.07,2,57.9,0,0.64
0,-0.54,0.57,1.42,1.42,-0.41,0.59,1.24,2,57.9,0,0.64
0,-0.58,0.57,1.43,1.43,-0.48,0.77,1.42,2,57.9,0,0.65
0,-0.61,0.58,1.45,1.45,-0.66,0.8,1.47,2,57.9,0,0.67
0,-0.62,0.61,1.51,1.51,-0.61,0.88,1.56,3,57.9,0,0.68
0,-0.6,0.62,1.55,1.55,-0.39,0.82,1.51,3,57.9,0,0.69
0,-0.6,0.61,1.52,1.52,0.03,0.68,1.38,2,57.9,0,0.7
0,-0.6,0.6,1.49,1.49,0.39,0.52,1.23,2,57.9,0,0.71
0,-0.57,0.56,1.39,1.39,0.87,0.3,1.02,2,57.9,0,0.72
0,-0.53,0.55,1.39,1.39,0.91,0.17,0.89,1,57.9,0,0.72
0,-0.52,0.53,1.34,1.34,0.98,0.15,0.88,1,57.9,0,0.72
0,-0.56,0.54,1.35,1.35,0.52,0.2,0.92,1,57.9,0,0.72
0,-0.58,0.54,1.36,1.36,-0.18,0.5,1.23,2,57.9,0,0.73
0,-0.58,0.57,1.43,1.43,-0.84,0.76,1.5,2,57.9,0,0.74
0,-0.61,0.61,1.54,1.54,-1.27,1.07,1.83,3,57.9,0,0.76
0,-0.64,0.65,1.62,1.62,-1.16,1.14,1.91,3,57.9,0,0.77
0,-0.64,0.63,1.58,1.58,-0.95,1.09,1.88,3,57.9,0,0.79
0,-0.63,0.63,1.57,1.57,-0.2,0.86,1.66,3,57.9,0,0.8
0,-0.59,0.63,1.57,1.57,0.4,0.59,1.4,2,57.9,0,0.81
0,-0.55,0.59,1.48,1.48,1.2,0.27,1.09,2,57.9,0,0.82
0,-0.53,0.54,1.34,1.34,1.52,-0.03,0.78,1,57.9,0,0.82
0,-0.51,0.51,1.29,1.29,1.4,-0.09,0.73,1,57.9,0,0.82
0,-0.49,0.52,1.29,1.29,1.01,0.03,0.85,1,57.9,0,0.82
0,-0.51,0.51,1.26,1.26,0.26,0.21,1.03,2,57.9,0,0.82
0,-0.55,0.52,1.29,1.29,-1.04,0.68,1.51,3,57.9,0,0.83
0,-0.61,0.57,1.43,1.43,-1.62,1.13,1.97,3,57.9,0,0.84
0,-0.64,0.64,1.59,1.59,-2.28,1.42,2.28,4,57.9,0,0.86
0,-0.67,0.66,1.65,1.65,-2.01,1.58,2.46,4,57.9,0,0.89
0,-0.7,0.67,1.67,1.67,-1.55,1.36,2.27,4,57.9,0,0.91
0,-0.71,0.68,1.71,1.71,-0.65,1.18,2.11,4,57.9,0,0.93
0,-0.65,0.69,1.72,1.72,0.69,0.66,1.6,3,57.9,0,0.94
0,-0.61,0.63,1.58,1.58,1.61,0.15,1.09,2,57.9,0,0.94
0,-0.55,0.57,1.43,1.43,2.13,-0.18,0.76,1,57.9,0,0.94
0,-0.54,0.52,1.31,1.31,2.42,-0.43,0.51,1,57.9,0,0.94
0,-0.53,0.53,1.33,1.33,1.37,-0.27,0.66,1,57.9,0,0.93
0,-0.55,0.52,1.31,1.31,0.35,0.2,1.13,2,57.9,0,0.93
0,-0.59,0.58,1.45,1.45,-1.03,0.68,1.62,3,57.9,0,0.94
0,-0.66,0.6,1.5,1.5,-2.25,1.3,2.25,4,57.9,0,0.96
0,-0.73,0.68,1.69,1.69,-2.99,1.74,2.73,5,57.9,0,0.98
0,-0.77,0.74,1.86,1.86,-3.02,1.99,3,6,57.9,0,1.01
0,-0.78,0.79,1.96,1.96,-2.29,1.88,2.92,5,57.9,0,1.04
0,-0.76,0.77,1.92,1.92,-0.87,1.42,2.49,4,57.9,0,1.06
0,-0.73,0.75,1.87,1.87,0.48,0.82,1.9,3,57.9,0,1.08
0,-0.68,0.71,1.76,1.76,2.03,0.22,1.31,2,57.9,0,1.08
0,-0.61,0.64,1.61,1.61,3.29,-0.47,0.61,1,57.9,0,1.08
0,-0.53,0.56,1.41,1.41,3.43,-0.84,0.23,0,57.9,0,1.07
0,-0.48,0.49,1.23,1.23,2.65,-0.75,0.3,0,57.9,0,1.06
0,-0.49,0.47,1.18,1.18,1.3,-0.36,0.69,1,57.9,0,1.05
0,-0.58,0.55,1.38,1.38,-0.88,0.43,1.49,2,57.9,0,1.05
0,-0.66,0.61,1.52,1.52,-2.89,1.41,2.48,4,57.9,0,1.07
0,-0.76,0.7,1.76,1.76,-4.2,2.15,3.25,6,57.9,0,1.1
0,-0.85,0.83,2.07,2.07,-4.71,2.67,3.81,7,57.9,0,1.14
0,-0.92,0.92,2.29,2.29,-4.1,2.7,3.88,7,57.9,0,1.18
0,-0.93,0.94,2.36,2.36,-3.01,2.41,3.62,7,57.9,0,1.22
0,-0.91,0.91,2.27,2.27,-1.14,1.77,3.01,6,57.9,0,1.25
0,-0.82,0.86,2.16,2.16,1.01,0.91,2.17,4,57.9,0,1.26
0,-0.75,0.8,2.01,2.01,3.37,-0.11,1.16,2,57.9,0,1.26
0,-0.69,0.7,1.74,1.74,4.64,-0.97,0.28,0,57.9,0,1.25
0,-0.61,0.65,1.63,1.63,4.33,-1.21,0.03,0,57.9,0,1.23
0,-0.56,0.59,1.47,1.47,3.38,-0.98,0.24,0,57.9,0,1.22
0,-0.6,0.57,1.42,1.42,1.4,-0.47,0.74,1,57.9,0,1.21
0,-0.68,0.61,1.51,1.51,-1.23,0.58,1.8,3,57.9,0,1.21
0,-0.81,0.72,1.8,1.8,-4.04,1.77,3,6,57.9,0,1.24
0,-0.94,0.88,2.19,2.19,-5.8,2.93,4.21,8,57.9,0,1.28
0,-1.07,1.02,2.56,2.56,-6.47,3.49,4.82,9,57.9,0,1.33
0,-1.18,1.12,2.79,2.79,-6.15,3.73,5.11,10,57.9,0,1.38
0,-1.26,1.23,3.08,3.08,-5.04,3.47,4.91,9,57.9,0,1.44
0,-1.29,1.27,3.19,3.19,-3.08,2.97,4.45,8,57.9,0,1.48
0,-1.22,1.26,3.16,3.16,-0.47,1.96,3.47,6,57.9,0,1.52
