遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出
0,14.29,-14.27,-7.13,-7.13,-3.92,-5.13,26.31,52,40.2,31.45
0,14.17,-14.23,-7.12,-7.12,-5.78,-1.92,13.49,26,40.2,15.4
0,14.2,-14.15,-7.08,-7.08,-5.01,-1.34,-1.85,-3,40.35,-0.51
0,14.41,-14.29,-7.14,-7.14,-0.6,-3.83,-24.1,-48,40.2,-20.27
0,14.7,-14.55,-7.28,-7.28,6.69,-10.18,-52.23,-92,40.35,-42.05
0,15.11,-14.94,-7.47,-7.47,14.33,-17.92,-63.12,-103,40.35,-45.19
0,15.69,-15.4,-7.7,-7.7,22.63,-26.11,-75.02,-115,40.35,-48.91
0,16.52,-16.08,-8.04,-8.04,30.75,-34.86,-85.07,-125,40.2,-50.21
0,17.74,-16.88,-8.44,-8.44,36.93,-42.77,-85.61,-125,40.35,-42.85
0,18.36,-18.22,-9.11,-9.11,35.54,-46.62,-53.62,-93,40.35,-7
0,18.65,-18.53,-9.27,-9.27,24.91,-40.48,11.36,22,40.2,51.84
0,18.6,-18.63,-9.32,-9.32,7.93,-26.26,69.38,109,40.2,95.63
0,18.46,-18.57,-9.28,-9.28,-8.73,-8.29,98.82,139,40.35,107.1
0,17.94,-18.26,-9.13,-9.13,-20.29,5.89,81.39,121,40.35,75.5
0,17.33,-17.52,-8.76,-8.76,-28.86,16.1,70.93,111,40.35,54.84
0,16.63,-16.95,-8.47,-8.47,-33.92,23.65,62.9,103,40.35,39.25
0,16.28,-16.44,-8.22,-8.22,-30.01,25.09,17.78,35,40.35,-7.31
0,16.08,-16.15,-8.07,-8.07,-17.87,16.47,-49.11,-89,40.2,-65.58
0,16.22,-16.13,-8.07,-8.07,-3.25,2.63,-83.4,-123,40.35,-86.03
0,16.82,-16.45,-8.22,-8.22,12.31,-12.62,-104.42,-144,40.35,-91.8
0,17.89,-17.34,-8.67,-8.67,29.86,-29.39,-120,-160,40.35,-101.02
0,19.15,-18.52,-9.26,-9.26,49.1,-48.82,-120,-160,40.35,-116.37
0,20.94,-20.02,-10.01,-10.01,65.9,-67.91,-120,-160,40.2,-105.59
0,23.25,-22.01,-11,-11,79.41,-84.13,-120,-160,40.35,-86.65
0,25.92,-24.54,-12.27,-12.27,86.49,-96.46,-120,-160,40.2,-57.34
0,27.93,-27.01,-13.51,-13.51,79.11,-98.61,-82.01,-122,40.35,16.6
0,28.89,-28.58,-14.29,-14.29,55.21,-82.97,42.26,82,40.35,125.23
0,29.17,-29.12,-14.56,-14.56,26.25,-55.28,118.59,158,40.35,173.87
0,28.42,-29,-14.5,-14.5,-4.25,-25.95,120,160,40.2,177.51
0,26.73,-27.69,-13.84,-13.84,-39.14,7.35,120,160,40.35,203.3
0,25.45,-26.05,-13.03,-13.03,-71,43.52,120,160,40.35,208.91
0,23.78,-24.6,-12.3,-12.3,-85.73,68.57,120,160,40.2,118.42
0,22.5,-23.09,-11.54,-11.54,-81.77,74.28,75.39,115,40.35,1.12
0,21.49,-21.88,-10.94,-10.94,-65.18,63.6,-23.12,-46,40.35,-86.72
0,21.17,-21.25,-10.63,-10.63,-40.89,43.39,-90.59,-130,40.2,-133.98
0,21.4,-21.25,-10.63,-10.63,-10.97,15.6,-120,-160,40.2,-176.01
0,22.46,-21.77,-10.89,-10.89,19.33,-15.17,-120,-160,40.35,-183.16
