遥控器 Pitch 目标角度,当前 Pitch 实际角度,外环角度误差,外环原始输出角速度,斜坡后的最终角速度目标,当前 Pitch 角速度,角速度内环 P 项输出,角速度内环最终输出,电机差动量,油门,D项输出
0,0.28,-0.28,-0.14,-0.14,-0.03,-0.1,-0.12,0,15.15,-0.01
0,0.27,-0.27,-0.14,-0.14,-0.04,-0.1,-0.1,0,16.95,0
0,0.27,-0.27,-0.14,-0.14,-0.06,-0.09,0.05,0,18,0.13
0,0.27,-0.27,-0.14,-0.14,-0.06,-0.07,-0.03,0,19.8,0.04
0,0.27,-0.27,-0.13,-0.13,-0.05,-0.08,-0.15,0,20.1,-0.07
0,0.26,-0.27,-0.13,-0.13,-0.04,-0.09,-0.16,0,22.35,-0.07
0,0.26,-0.26,-0.13,-0.13,-0.02,-0.1,-0.17,0,23.25,-0.07
0,0.25,-0.24,-0.12,-0.12,0.11,-0.13,-0.5,0,23.55,-0.37
0,0.27,-0.27,-0.13,-0.13,0.3,-0.38,-2,-3,23.7,-1.62
0,0.24,-0.25,-0.13,-0.13,-0.06,-0.33,0.86,1,23.7,1.19
0,0.23,-0.25,-0.12,-0.12,-0.52,0.22,3.64,7,24,3.42
0,0.22,-0.22,-0.11,-0.11,-0.56,0.46,1.11,2,24.45,0.65
0,0.21,-0.22,-0.11,-0.11,-0.43,0.4,-0.13,0,24.6,-0.53
0,0.22,-0.21,-0.11,-0.11,-0.02,0.18,-1.58,-3,25.05,-1.76
0,0.24,-0.23,-0.11,-0.11,0.69,-0.45,-4.75,-9,25.05,-4.3
0,0.26,-0.25,-0.13,-0.13,1.1,-1.09,-4.39,-8,25.05,-3.3
0,0.27,-0.27,-0.13,-0.13,0.84,-1.19,-0.61,-1,25.05,0.58
0,0.26,-0.27,-0.13,-0.13,0.12,-0.64,3.24,6,25.05,3.89
0,0.22,-0.24,-0.12,-0.12,-0.79,0.2,5.48,10,25.05,5.28
0,0.19,-0.2,-0.1,-0.1,-1.57,1.13,6.53,13,25.05,5.39
0,0.16,-0.17,-0.08,-0.08,-1.62,1.61,3.13,6,25.05,1.52
0,0.15,-0.15,-0.08,-0.08,-0.88,1.29,-1.85,-3,25.05,-3.13
0,0.2,-0.17,-0.09,-0.09,0.68,0.1,-8.22,-16,25.05,-8.32
0,0.29,-0.25,-0.12,-0.12,2.51,-1.74,-13.02,-26,25.05,-11.28
0,0.37,-0.34,-0.17,-0.17,3.61,-3.39,-12,-23,25.05,-8.6
0,0.39,-0.39,-0.19,-0.19,2.98,-3.73,-2.91,-5,25.05,0.83
0,0.35,-0.38,-0.19,-0.19,0.67,-2.18,9.75,19,25.05,11.93
0,0.22,-0.28,-0.14,-0.14,-2.46,0.72,19.1,38,25.05,18.39
0,0.08,-0.16,-0.08,-0.08,-4.99,3.83,21.14,42,25.05,17.32
0,0,-0.03,-0.01,-0.01,-5.66,5.6,13.09,26,25.05,7.49
0,-0.03,0.03,0.01,0.01,-3.91,5.08,-2.13,-4,25.05,-7.21
0,0.06,0,0,0,-0.45,2.33,-16.62,-33,25.05,-18.95
0,0.2,-0.12,-0.06,-0.06,3.55,-1.63,-25.82,-50,25.05,-24.19
0,0.36,-0.28,-0.14,-0.14,6.5,-5.4,-26,-51,25.05,-20.6
0,0.52,-0.44,-0.22,-0.22,7.37,-7.41,-15.71,-31,25.05,-8.3
0,0.58,-0.56,-0.28,-0.28,6.27,-7.36,-3.86,-7,25.05,3.5
0,0.54,-0.58,-0.29,-0.29,3.14,-5.2,11.03,22,25.05,16.24
0,0.45,-0.5,-0.25,-0.25,-1.14,-1.31,23.72,47,25.05,25.03
0,0.3,-0.37,-0.18,-0.18,-4.78,2.94,26.74,51,25.05,23.8
0,0.16,-0.23,-0.12,-0.12,-6.77,5.93,21.17,42,25.05,15.24
0,0.08,-0.12,-0.06,-0.06,-6.45,6.84,8.42,16,25.05,1.58
0,0.11,-0.08,-0.04,-0.04,-3.77,5.35,-7.37,-14,25.05,-12.72
0,0.19,-0.15,-0.07,-0.07,0.68,1.6,-23.51,-47,25.05,-25.11
0,0.34,-0.26,-0.13,-0.13,4.99,-3.09,-30.49,-55,25.05,-27.4
0,0.52,-0.42,-0.21,-0.21,7.72,-6.84,-26.54,-51,25.05,-19.7
0,0.66,-0.61,-0.31,-0.31,8.16,-8.55,-14.78,-29,25.05,-6.23
0,0.7,-0.7,-0.35,-0.35,6.04,-7.76,1.22,2,25.05,8.98
0,0.64,-0.68,-0.34,-0.34,1.95,-4.5,17.99,35,25.05,22.49
0,0.52,-0.59,-0.29,-0.29,-2.51,0.06,27.73,52,25.05,27.67
0,0.35,-0.43,-0.22,-0.22,-5.72,4.12,26.1,51,25.05,21.98
0,0.19,-0.27,-0.14,-0.14,-7.02,6.48,17.21,34,25.05,10.74
0,0.13,-0.14,-0.07,-0.07,-6.14,6.8,5.05,10,25.05,-1.75
0,0.15,-0.13,-0.07,-0.07,-3,4.76,-11,-21,25.05,-15.76
0,0.26,-0.19,-0.1,-0.1,1.33,0.77,-24.89,-49,25.05,-25.66
0,0.41,-0.32,-0.16,-0.16,5.1,-3.54,-28.05,-53,25.05,-24.51
0,0.61,-0.51,-0.25,-0.25,7.29,-6.69,-22.61,-45,25.05,-15.93
0,0.71,-0.68,-0.34,-0.34,7.29,-7.94,-11.6,-23,25.05,-3.66
0,0.69,-0.71,-0.35,-0.35,4.76,-6.68,4.83,9,25.05,11.51
0,0.63,-0.68,-0.34,-0.34,0.62,-3.12,20.63,41,25.05,23.75
0,0.51,-0.58,-0.29,-0.29,-3.75,1.32,28.12,53,25.05,26.8
0,0.31,-0.4,-0.2,-0.2,-6.9,5.36,27.05,52,25.05,21.69
0,0.18,-0.24,-0.12,-0.12,-7.73,7.53,16.55,33,25.05,9.02
0,0.17,-0.17,-0.08,-0.08,-5.82,7.03,-0.31,0,25.05,-7.34
0,0.22,-0.18,-0.09,-0.09,-1.66,3.84,-18.9,-37,25.05,-22.74
0,0.37,-0.29,-0.15,-0.15,3.1,-0.89,-29.66,-54,25.05,-28.77
0,0.55,-0.45,-0.22,-0.22,6.83,-5.42,-30.56,-55,25.05,-25.14
0,0.74,-0.64,-0.32,-0.32,8.54,-8.28,-21.84,-43,25.05,-13.56
0,0.85,-0.81,-0.41,-0.41,8.08,-8.96,-9.15,-18,25.05,-0.19
0,0.88,-0.88,-0.44,-0.44,5.75,-7.58,3.7,7,25.05,11.28
0,0.84,-0.86,-0.43,-0.43,1.93,-4.41,16.88,33,25.05,21.28
0,0.73,-0.8,-0.4,-0.4,-2.09,-0.22,25.04,50,25.05,25.26
0,0.58,-0.64,-0.32,-0.32,-5.04,3.4,23,46,25.05,19.6
0,0.44,-0.5,-0.25,-0.25,-6.2,5.64,15.88,31,25.05,10.24
0,0.42,-0.43,-0.21,-0.21,-4.97,5.7,2.32,4,25.05,-3.38
0,0.48,-0.44,-0.22,-0.22,-1.39,3.19,-15.6,-31,25.05,-18.79
0,0.6,-0.54,-0.27,-0.27,3.06,-1.12,-27.93,-52,25.05,-26.82
0,0.8,-0.69,-0.35,-0.35,6.61,-5.39,-29.21,-54,25.05,-23.82
0,0.98,-0.89,-0.44,-0.44,8.25,-8.13,-21.01,-42,25.05,-12.88
0,1.09,-1.06,-0.53,-0.53,7.71,-8.79,-8.87,-17,25.05,-0.09
0,1.09,-1.08,-0.54,-0.54,5.05,-7.18,5.75,11,25.05,12.93
0,1.02,-1.06,-0.53,-0.53,1.03,-3.65,19.57,39,25.05,23.22
0,0.89,-0.96,-0.48,-0.48,-3.12,0.61,26.09,51,25.05,25.48
0,0.71,-0.8,-0.4,-0.4,-6.17,4.46,25.3,50,25.05,20.84
0,0.59,-0.65,-0.32,-0.32,-6.94,6.58,15.45,30,25.05,8.87
0,0.61,-0.58,-0.29,-0.29,-4.95,6,-1.87,-3,25.05,-7.86
0,0.69,-0.63,-0.32,-0.32,-0.7,2.68,-20.7,-41,25.05,-23.38
0,0.81,-0.76,-0.38,-0.38,4.07,-2.12,-31.33,-56,25.05,-29.21
0,1.02,-0.93,-0.46,-0.46,7.45,-6.46,-29.67,-54,25.05,-23.21
0,1.21,-1.12,-0.56,-0.56,8.85,-8.97,-20.62,-41,25.05,-11.65
0,1.32,-1.26,-0.63,-0.63,8.06,-9.35,-7.78,-15,25.05,1.57
0,1.33,-1.33,-0.67,-0.67,5.32,-7.57,6.29,12,25.05,13.86
0,1.3,-1.33,-0.66,-0.66,1.41,-4.1,18.58,37,25.05,22.68
0,1.21,-1.26,-0.63,-0.63,-2.41,-0.05,23.83,47,25.05,23.88
0,1.05,-1.12,-0.56,-0.56,-5.12,3.39,21.94,43,25.05,18.55
0,0.95,-0.99,-0.49,-0.49,-5.94,5.31,13.58,27,25.05,8.27
0,0.92,-0.91,-0.45,-0.45,-4.42,5.02,-0.57,-1,25.05,-5.59
0,0.97,-0.94,-0.47,-0.47,-0.87,2.36,-16.63,-33,25.05,-18.99
0,1.14,-1.05,-0.52,-0.52,3.37,-1.79,-27.4,-52,25.05,-25.61
0,1.33,-1.23,-0.61,-0.61,6.82,-5.89,-28.78,-53,25.05,-22.88
0,1.49,-1.42,-0.71,-0.71,8.39,-8.6,-21.38,-42,25.05,-12.79
0,1.6,-1.56,-0.78,-0.78,7.65,-9.08,-8.06,-16,25.05,1.02
0,1.6,-1.61,-0.81,-0.81,4.73,-7.24,7.36,14,25.05,14.6
0,1.53,-1.58,-0.79,-0.79,0.59,-3.51,20.63,41,25.05,24.14
0,1.4,-1.47,-0.73,-0.73,-3.43,0.77,25.84,50,25.05,25.07
0,1.2,-1.31,-0.65,-0.65,-6.23,4.42,24.06,48,25.05,19.64
0,1.13,-1.16,-0.58,-0.58,-6.53,6.17,12.4,24,25.05,6.24
0,1.13,-1.12,-0.56,-0.56,-4.16,5.07,-5.76,-11,25.05,-10.83
0,1.24,-1.18,-0.59,-0.59,0.07,1.62,-21.8,-43,25.05,-23.42
0,1.4,-1.31,-0.66,-0.66,4.57,-3.07,-31.26,-56,25.05,-28.19
0,1.61,-1.5,-0.75,-0.75,7.62,-7.06,-27.99,-53,25.05,-20.93
0,1.75,-1.67,-0.84,-0.84,8.81,-9.33,-19.86,-39,25.05,-10.53
0,1.82,-1.8,-0.9,-0.9,7.75,-9.44,-6.11,-12,25.05,3.32
0,1.83,-1.84,-0.92,-0.92,4.77,-7.39,7.95,15,25.05,15.35
0,1.77,-1.8,-0.9,-0.9,0.66,-3.68,20.19,40,25.05,23.87
0,1.64,-1.71,-0.86,-0.86,-3.25,0.54,25.28,50,25.05,24.74
0,1.48,-1.55,-0.77,-0.77,-5.9,4,22.3,44,25.05,18.3
0,1.37,-1.41,-0.71,-0.71,-6.51,5.83,13.41,26,25.05,7.58
0,1.38,-1.36,-0.68,-0.68,-4.37,5.09,-3.78,-7,25.05,-8.87
0,1.48,-1.41,-0.71,-0.71,-0.13,1.71,-21.7,-43,25.05,-23.41
0,1.63,-1.53,-0.77,-0.77,4.52,-3.02,-31.62,-56,25.05,-28.6
0,1.84,-1.73,-0.87,-0.87,7.99,-7.35,-30.84,-55,25.05,-23.5
0,2.02,-1.93,-0.96,-0.96,9.29,-9.91,-21.42,-42,25.05,-11.51
0,2.12,-2.08,-1.04,-1.04,8.27,-10.08,-7.06,-14,25.05,3.03
0,2.15,-2.14,-1.07,-1.07,5.3,-8.08,7.07,14,25.05,15.15
0,2.1,-2.14,-1.07,-1.07,1.33,-4.42,19,37,25.05,23.41
0,1.96,-2.05,-1.02,-1.02,-2.68,-0.32,24.03,48,25.05,24.36
0,1.79,-1.88,-0.94,-0.94,-5.86,3.53,25.03,50,25.05,21.5
0,1.68,-1.73,-0.87,-0.87,-6.52,5.71,14.39,28,25.05,8.68
0,1.66,-1.66,-0.83,-0.83,-4.42,4.94,-4.12,-8,25.05,-9.06
0,1.75,-1.69,-0.84,-0.84,-0.35,1.7,-20.7,-41,25.05,-22.41
0,1.89,-1.81,-0.91,-0.91,4.18,-2.85,-30.47,-55,25.05,-27.61
0,2.11,-1.99,-1,-1,7.66,-7.13,-30.55,-55,25.05,-23.43
0,2.27,-2.18,-1.09,-1.09,9.26,-9.81,-22.52,-45,25.05,-12.71
0,2.43,-2.35,-1.17,-1.17,8.85,-10.46,-10.83,-21,25.05,-0.36
0,2.51,-2.48,-1.24,-1.24,6.84,-9.24,0.88,1,25.05,10.12
0,2.51,-2.52,-1.26,-1.26,3.55,-6.6,11.41,22,25.05,18.01
0,2.42,-2.48,-1.24,-1.24,-0.19,-2.91,19.69,39,25.05,22.6
0,2.28,-2.35,-1.17,-1.17,-3.73,0.86,22.88,45,25.05,22.03
0,2.16,-2.2,-1.1,-1.1,-5.89,3.96,19.98,39,25.05,16.02
0,2.08,-2.12,-1.06,-1.06,-5.65,5.06,7.73,15,25.05,2.68
0,2.11,-2.09,-1.05,-1.05,-2.82,3.49,-9.94,-19,25.05,-13.43
0,2.22,-2.16,-1.08,-1.08,1.67,-0.42,-26.25,-51,25.05,-25.83
0,2.39,-2.3,-1.15,-1.15,5.88,-5.1,-32.37,-57,25.05,-27.27
0,2.6,-2.49,-1.24,-1.24,8.3,-8.56,-25.85,-50,25.05,-17.28
0,2.77,-2.69,-1.34,-1.34,8.92,-10.2,-16.86,-33,25.05,-6.66
0,2.83,-2.8,-1.4,-1.4,7.32,-9.81,-3.64,-7,25.05,6.17
0,2.84,-2.86,-1.43,-1.43,4.01,-7.24,10.97,21,25.05,18.2
0,2.77,-2.82,-1.41,-1.41,-0.12,-3.41,20.61,41,25.05,24.02
0,2.62,-2.7,-1.35,-1.35,-4.14,0.86,26.02,51,25.05,25.16
0,2.44,-2.52,-1.26,-1.26,-6.86,4.48,23.68,47,25.05,19.2
0,2.37,-2.4,-1.2,-1.2,-7.05,6.16,12.11,24,25.05,5.95
0,2.37,-2.34,-1.17,-1.17,-4.2,4.76,-8.68,-17,25.05,-13.44
0,2.49,-2.43,-1.21,-1.21,0.41,0.83,-25.02,-50,25.05,-25.85
0,2.69,-2.58,-1.29,-1.29,5.47,-4.28,-35.34,-60,25.05,-31.06
0,2.92,-2.8,-1.4,-1.4,9.13,-8.99,-34.35,-59,25.05,-25.37
0,3.11,-3.01,-1.51,-1.51,10.05,-11.46,-21.3,-42,25.05,-9.84
0,3.22,-3.18,-1.59,-1.59,8.6,-11.16,-5.36,-10,25.05,5.79
0,3.24,-3.24,-1.62,-1.62,5.3,-8.77,8.57,17,25.35,17.35
0,3.18,-3.22,-1.61,-1.61,1.03,-4.82,20.31,40,25.65,25.13
0,3.06,-3.13,-1.56,-1.56,-3.13,-0.46,25.2,50,26.7,25.66
0,2.9,-2.98,-1.49,-1.49,-6.19,3.42,24.73,49,28.05,21.32
0,2.79,-2.84,-1.42,-1.42,-6.57,5.35,12.31,24,28.65,6.96
0,2.78,-2.77,-1.38,-1.38,-4.21,4.3,-6.4,-12,29.25,-10.7
0,2.88,-2.83,-1.41,-1.41,0.12,0.79,-23.2,-46,29.7,-24
0,3.07,-2.96,-1.48,-1.48,4.7,-3.96,-32.33,-63,32.1,-28.37
0,3.28,-3.17,-1.58,-1.58,8.06,-8.19,-31.06,-62,33.75,-22.87
0,3.45,-3.37,-1.69,-1.69,9.43,-10.7,-22.14,-44,35.1,-11.44
0,3.6,-3.53,-1.76,-1.76,8.72,-11.06,-9.53,-19,36.45,1.54
0,3.64,-3.61,-1.81,-1.81,6.34,-9.55,2.13,4,36.75,11.69
0,3.59,-3.61,-1.81,-1.81,2.55,-6.37,14.94,29,37.65,21.31
0,3.49,-3.57,-1.78,-1.78,-1.71,-2.2,23.37,46,37.65,25.58
0,3.33,-3.41,-1.7,-1.7,-5.48,2.04,26.44,52,37.65,24.4
0,3.18,-3.24,-1.62,-1.62,-7.13,5.04,19.2,38,37.65,14.16
0,3.15,-3.15,-1.57,-1.57,-5.67,5.24,1.43,2,37.65,-3.81
0,3.22,-3.17,-1.58,-1.58,-1.3,2.19,-20.6,-41,37.8,-22.78
0,3.42,-3.31,-1.65,-1.65,4.43,-3.18,-37.06,-74,37.8,-33.88
0,3.71,-3.56,-1.78,-1.78,9.65,-8.96,-41.94,-79,37.8,-32.98
0,4.02,-3.86,-1.93,-1.93,13.25,-13.64,-38.36,-76,37.8,-24.72
0,4.26,-4.15,-2.07,-2.07,14.65,-16.32,-28.39,-56,37.8,-12.07
0,4.47,-4.38,-2.19,-2.19,13.41,-16.54,-12.95,-25,37.8,3.6
0,4.59,-4.55,-2.27,-2.27,10.08,-14.23,3.14,6,37.8,17.38
0,4.57,-4.59,-2.3,-2.3,4.82,-10.03,18.11,36,37.8,28.14
0,4.39,-4.5,-2.25,-2.25,-2.12,-3.67,37.22,74,37.8,40.89
0,4.16,-4.27,-2.14,-2.14,-8.13,3.27,42.64,80,37.8,39.37
0,3.91,-4.03,-2.02,-2.02,-10.91,8.02,30.95,61,37.8,22.92
0,3.78,-3.82,-1.91,-1.91,-9.38,8.74,5.65,11,37.8,-3.09
0,3.86,-3.8,-1.9,-1.9,-4.38,5.37,-20.03,-40,37.8,-25.4
0,4.08,-3.96,-1.98,-1.98,2.9,-1.09,-43.06,-80,37.8,-41.96
0,4.36,-4.21,-2.11,-2.11,9.76,-8.67,-52.71,-90,37.8,-44.03
0,4.72,-4.52,-2.26,-2.26,14.28,-14.55,-44.93,-82,37.8,-30.38
0,5.07,-4.9,-2.45,-2.45,16.93,-18.31,-37.31,-74,37.8,-19
0,5.33,-5.21,-2.61,-2.61,17.15,-19.97,-25.12,-50,37.8,-5.15
0,5.56,-5.44,-2.72,-2.72,15.11,-19.08,-9.6,-19,37.8,9.49
0,5.72,-5.66,-2.83,-2.83,11.56,-16.34,2.81,5,37.8,19.15
0,5.72,-5.74,-2.87,-2.87,6.2,-12.01,16.93,33,37.8,28.95
0,5.58,-5.65,-2.83,-2.83,-0.94,-5.58,35.82,71,37.8,41.4
0,5.38,-5.49,-2.75,-2.75,-6.98,1.61,42.54,80,37.8,40.93
0,5.16,-5.25,-2.62,-2.62,-9.39,6.02,26.07,52,37.8,20.04
0,5.02,-5.05,-2.53,-2.53,-8.09,6.67,4.28,8,37.8,-2.39
